Employee ID,On Site Frequency,Position Title,Date in service,Business Unit level 1,Business Unit level 2
3022906,Fully Remote,Sr. Software Development Engineer II,2022-07-18,Corporate,Engineering - Brand 2
3031509,Fully Remote,Sr. Digital Marketing Specialist II,2022-12-05,Corporate,Marketing
2003115,Hybrid,Social Media Specialist I,2021-03-01,Brand 2,Marketing - Brand 2
3023646,Fully Remote,Product Specialist II,2022-08-01,Corporate,Engineering - Brand 2
3018469,Hybrid,Corporate Attorney,2021-11-22,Corporate,Legal
3020739,Fully Remote,"Manager, Product Sourcing",2022-03-28,Brand 2,Product Merchandising - Brand 2
3043751,Hybrid,Merchandising Specialist II,2024-03-18,Brand 2,Product Merchandising - Brand 2
2003109,Fully Remote,Lead Customer Service Representative 5,2021-01-25,Brand 2,Customer Service - Brand 2
2002939,Hybrid,Product Sourcing Analyst II,2020-11-30,Brand 2,Product Merchandising - Brand 2
3038672,Hybrid,Sr. Data Engineer I,2023-09-18,Corporate,Engineering - Brand 2
2002435,Fully Remote,Customer Service Representative 3,2020-09-03,Brand 2,Customer Service - Brand 2
2001289,Hybrid,Client Services Specialist II,2012-03-15,Operations,Manufacturing-Brand 1
2002680,Hybrid,Collaborations Specialist I,2020-06-16,Brand 2,Marketing - Brand 2
2002910,Hybrid,Customer Service Representative 4,2020-05-26,Brand 2,Customer Service - Brand 2
2002936,Hybrid,Customer Service Representative 4,2020-08-10,Brand 2,Customer Service - Brand 2
2003171,Fully Remote,Customer Service Representative 4,2021-07-19,Brand 2,Customer Service - Brand 2
3029900,Fully Remote,"Sr. Manager, Channel Marketing",2022-11-14,Brand 2,Marketing - Brand 2
3029400,Fully Remote,Customer Service Representative 3,2022-10-17,Brand 2,Customer Service - Brand 2
3040598,Fully Remote,"VP, GM Brand 2",2023-10-04,Corporate,Leadership
3027224,Fully Remote,"SVP, Chief Human Resources Officer",2022-08-29,Corporate,Leadership
2003157,Hybrid,Customer Service Representative 4,2021-03-01,Brand 2,Customer Service - Brand 2
3028421,Site Critical,Office Administrator 2,2022-09-26,Operations,Environmental Health & Safety
3043533,Hybrid,Sr. Site Optimization Specialist II,2024-03-04,Corporate,Marketing
2002895,Hybrid,"Spvsr, Customer Service I",2015-03-30,Brand 2,Customer Service - Brand 2
